Year,Player Name,Salary (Unadjusted),Salary (Adjusted)
1990-1991,Patrick Ewing,"$4,250,000","$9,982,396"
1990-1991,Hot Rod Williams,"$3,785,000","$8,890,204"
1990-1991,Hakeem Olajuwon,"$3,175,000","$7,457,437"
1990-1991,Charles Barkley,"$2,900,000","$6,811,517"
1990-1991,Chris Mullin,"$2,850,000","$6,694,077"
1990-1991,Isiah Thomas,"$2,720,000","$6,388,733"
1990-1991,Danny Ferry,"$2,640,000","$6,200,829"
1990-1991,Robert Parish,"$2,500,000","$5,871,997"
1990-1991,Michael Jordan,"$2,500,000","$5,871,997"
1990-1991,Moses Malone,"$2,406,000","$5,651,210"
1990-1991,Magic Johnson,"$2,400,000","$5,637,117"
1990-1991,Wayman Tisdale,"$2,330,000","$5,472,701"
1990-1991,Pervis Ellison,"$2,300,000","$5,402,237"
1990-1991,David Robinson,"$2,265,000","$5,320,029"
1990-1991,Karl Malone,"$2,260,000","$5,308,285"
1990-1991,Ralph Sampson,"$2,250,000","$5,284,797"
1990-1991,Danny Manning,"$2,200,000","$5,167,357"
1990-1991,Blair Rasmussen,"$2,185,000","$5,132,125"
1990-1991,Chuck Person,"$2,150,000","$5,049,918"
1990-1991,Derrick Coleman,"$2,100,000","$4,932,478"
1990-1991,Dominique Wilkins,"$2,065,000","$4,850,270"
1990-1991,Tom Chambers,"$2,060,000","$4,838,526"
1990-1991,Sam Bowie,"$2,000,000","$4,697,598"
1990-1991,LaSalle Thompson,"$2,000,000","$4,697,598"
1990-1991,Willie Burton,"$2,000,000","$4,697,598"
1990-1991,Terry Porter,"$2,000,000","$4,697,598"
1990-1991,John Stockton,"$2,000,000","$4,697,598"
1990-1991,Mark Eaton,"$2,000,000","$4,697,598"
1990-1991,Sam Perkins,"$1,970,000","$4,627,134"
1990-1991,Terry Cummings,"$1,860,000","$4,368,766"
1990-1991,Sean Elliott,"$1,800,000","$4,227,838"
1990-1991,Mark Jackson,"$1,785,000","$4,192,606"
1990-1991,Otis Thorpe,"$1,760,000","$4,133,886"
1990-1991,A.C. Green,"$1,750,000","$4,110,398"
1990-1991,Benoit Benjamin,"$1,750,000","$4,110,398"
1990-1991,Kevin Johnson,"$1,750,000","$4,110,398"
1990-1991,Kevin Duckworth,"$1,710,000","$4,016,446"
1990-1991,Alton Lister,"$1,700,000","$3,992,958"
1990-1991,Gary Payton,"$1,685,000","$3,957,726"
1990-1991,Mahmoud Abdul-Rauf,"$1,660,000","$3,899,006"
1990-1991,Mike Gminski,"$1,650,000","$3,875,518"
1990-1991,Rolando Blackman,"$1,650,000","$3,875,518"
1990-1991,James Worthy,"$1,600,000","$3,758,078"
1990-1991,Alec Kessler,"$1,600,000","$3,758,078"
1990-1991,Jack Sikma,"$1,600,000","$3,758,078"
1990-1991,Bernard King,"$1,600,000","$3,758,078"
1990-1991,Dennis Scott,"$1,560,000","$3,664,126"
1990-1991,Jon Koncak,"$1,550,000","$3,640,638"
1990-1991,Glen Rice,"$1,550,000","$3,640,638"
1990-1991,Buck Williams,"$1,550,000","$3,640,638"
1990-1991,Derek Harper,"$1,519,000","$3,567,825"
1990-1991,Fat Lever,"$1,519,000","$3,567,825"
1990-1991,Bill Laimbeer,"$1,510,000","$3,546,686"
1990-1991,Larry Bird,"$1,500,000","$3,523,198"
1990-1991,Kendall Gill,"$1,500,000","$3,523,198"
1990-1991,Alex English,"$1,500,000","$3,523,198"
1990-1991,Danny Schayes,"$1,500,000","$3,523,198"
1990-1991,Johnny Dawkins,"$1,500,000","$3,523,198"
1990-1991,Kevin McHale,"$1,400,000","$3,288,318"
1990-1991,Mark Price,"$1,400,000","$3,288,318"
1990-1991,Vinnie Johnson,"$1,400,000","$3,288,318"
1990-1991,Sleepy Floyd,"$1,400,000","$3,288,318"
1990-1991,Xavier McDaniel,"$1,400,000","$3,288,318"
1990-1991,Greg Anderson,"$1,365,000","$3,206,110"
1990-1991,Ron Harper,"$1,365,000","$3,206,110"
1990-1991,Rik Smits,"$1,350,000","$3,170,878"
1990-1991,Rick Mahorn,"$1,330,000","$3,123,902"
1990-1991,Brad Daugherty,"$1,320,000","$3,100,414"
1990-1991,Manute Bol,"$1,300,000","$3,053,438"
1990-1991,Brad Lohaus,"$1,275,000","$2,994,718"
1990-1991,Sarunas Marciulionis,"$1,270,000","$2,982,974"
1990-1991,Larry Nance,"$1,260,000","$2,959,486"
1990-1991,Roy Hinson,"$1,250,000","$2,935,998"
1990-1991,J.R. Reid,"$1,250,000","$2,935,998"
1990-1991,Dale Ellis,"$1,250,000","$2,935,998"
1990-1991,Jim Petersen,"$1,235,000","$2,900,766"
1990-1991,Brian Shaw,"$1,212,000","$2,846,744"
1990-1991,Drazen Petrovic,"$1,200,000","$2,818,558"
1990-1991,Johnny Newman,"$1,200,000","$2,818,558"
1990-1991,Tony Campbell,"$1,200,000","$2,818,558"
1990-1991,Armen Gilliam,"$1,200,000","$2,818,558"
1990-1991,Clyde Drexler,"$1,180,000","$2,771,582"
1990-1991,Detlef Schrempf,"$1,160,000","$2,724,606"
1990-1991,Randy Breuer,"$1,150,000","$2,701,118"
1990-1991,Mark Aguirre,"$1,115,000","$2,618,910"
1990-1991,Bill Cartwright,"$1,100,000","$2,583,678"
1990-1991,Byron Scott,"$1,100,000","$2,583,678"
1990-1991,Ricky Pierce,"$1,100,000","$2,583,678"
1990-1991,Jeff Hornacek,"$1,100,000","$2,583,678"
1990-1991,Wayne Cooper,"$1,100,000","$2,583,678"
1990-1991,Terry Catledge,"$1,085,000","$2,548,446"
1990-1991,Felton Spencer,"$1,070,000","$2,513,215"
1990-1991,Ken Norman,"$1,050,000","$2,466,239"
1990-1991,Charles Oakley,"$1,050,000","$2,466,239"
1990-1991,Joe Dumars,"$1,035,000","$2,431,007"
1990-1991,Kiki Vandeweghe,"$1,025,000","$2,407,519"
1990-1991,Kelly Tripucka,"$1,000,000","$2,348,799"
1990-1991,Horace Grant,"$1,000,000","$2,348,799"
1990-1991,Stacey King,"$1,000,000","$2,348,799"
1990-1991,Herb Williams,"$1,000,000","$2,348,799"
1990-1991,Tyrone Hill,"$1,000,000","$2,348,799"
1990-1991,Charles Smith,"$1,000,000","$2,348,799"
1990-1991,Maurice Cheeks,"$1,000,000","$2,348,799"
1990-1991,Eddie Johnson,"$1,000,000","$2,348,799"
1990-1991,Hersey Hawkins,"$1,000,000","$2,348,799"
1990-1991,Thurl Bailey,"$1,000,000","$2,348,799"
1990-1991,John Williams,"$1,000,000","$2,348,799"
1990-1991,Joe Wolf,"$990,000","$2,325,311"
1990-1991,Rodney McCray,"$985,000","$2,313,567"
1990-1991,Sam Vincent,"$980,000","$2,301,823"
1990-1991,Derrick McKey,"$962,000","$2,259,544"
1990-1991,Chris Dudley,"$950,000","$2,231,359"
1990-1991,Bo Kimble,"$950,000","$2,231,359"
1990-1991,George McCloud,"$940,000","$2,207,871"
1990-1991,James Edwards,"$935,000","$2,196,127"
1990-1991,Lionel Simmons,"$930,000","$2,184,383"
1990-1991,Craig Ehlo,"$925,000","$2,172,639"
1990-1991,Dennis Hopson,"$915,000","$2,149,151"
1990-1991,Jeff Malone,"$915,000","$2,149,151"
1990-1991,Michael Cage,"$910,000","$2,137,407"
1990-1991,Frank Brickowski,"$905,000","$2,125,663"
1990-1991,Dell Curry,"$900,000","$2,113,919"
1990-1991,Lester Conner,"$900,000","$2,113,919"
1990-1991,Kurt Rambis,"$900,000","$2,113,919"
1990-1991,Walter Davis,"$900,000","$2,113,919"
1990-1991,Paul Pressey,"$900,000","$2,113,919"
1990-1991,Doc Rivers,"$895,000","$2,102,175"
1990-1991,James Donaldson,"$880,000","$2,066,943"
1990-1991,Dennis Rodman,"$880,000","$2,066,943"
1990-1991,Kenny Walker,"$875,000","$2,055,199"
1990-1991,Mark West,"$875,000","$2,055,199"
1990-1991,Alvin Robertson,"$870,000","$2,043,455"
1990-1991,Joe Kleine,"$850,000","$1,996,479"
1990-1991,William Bedford,"$850,000","$1,996,479"
1990-1991,Mitch Richmond,"$850,000","$1,996,479"
1990-1991,Darrell Griffith,"$850,000","$1,996,479"
1990-1991,Sidney Green,"$837,000","$1,965,944"
1990-1991,Trent Tucker,"$835,000","$1,961,247"
1990-1991,Tyrone Corbin,"$830,000","$1,949,503"
1990-1991,Michael Adams,"$825,000","$1,937,759"
1990-1991,Loy Vaught,"$825,000","$1,937,759"
1990-1991,Muggsy Bogues,"$805,000","$1,890,783"
1990-1991,Orlando Woolridge,"$805,000","$1,890,783"
1990-1991,Rumeal Robinson,"$800,000","$1,879,039"
1990-1991,Tree Rollins,"$800,000","$1,879,039"
1990-1991,Larry Smith,"$800,000","$1,879,039"
1990-1991,Travis Mays,"$800,000","$1,879,039"
1990-1991,Tom Hammonds,"$800,000","$1,879,039"
1990-1991,Tim McCormick,"$775,000","$1,820,319"
1990-1991,Vlade Divac,"$770,000","$1,808,575"
1990-1991,Reggie Theus,"$765,000","$1,796,831"
1990-1991,Scottie Pippen,"$765,000","$1,796,831"
1990-1991,Roy Tarpley,"$765,000","$1,796,831"
1990-1991,Mike Sanders,"$760,000","$1,785,087"
1990-1991,Rony Seikaly,"$755,000","$1,773,343"
1990-1991,Ed Pinckney,"$750,000","$1,761,599"
1990-1991,Chris Morris,"$750,000","$1,761,599"
1990-1991,Cliff Levingston,"$750,000","$1,761,599"
1990-1991,David Wingate,"$750,000","$1,761,599"
1990-1991,Randy White,"$730,000","$1,714,623"
1990-1991,Gerald Wilkins,"$725,000","$1,702,879"
1990-1991,Nick Anderson,"$725,000","$1,702,879"
1990-1991,Danny Ainge,"$725,000","$1,702,879"
1990-1991,Willie Anderson,"$725,000","$1,702,879"
1990-1991,Kenny Smith,"$700,000","$1,644,159"
1990-1991,Bill Wennington,"$700,000","$1,644,159"
1990-1991,Fred Roberts,"$690,000","$1,620,671"
1990-1991,Kevin Willis,"$685,000","$1,608,927"
1990-1991,Rex Chapman,"$675,000","$1,585,439"
1990-1991,Buck Johnson,"$675,000","$1,585,439"
1990-1991,Tim Perry,"$675,000","$1,585,439"
1990-1991,Charles Jones,"$675,000","$1,585,439"
1990-1991,Vern Fleming,"$667,000","$1,566,648"
1990-1991,Nate McMillan,"$658,000","$1,545,509"
1990-1991,Reggie Miller,"$654,000","$1,536,114"
1990-1991,Alexander Volkov,"$650,000","$1,526,719"
1990-1991,Dave Jamerson,"$650,000","$1,526,719"
1990-1991,Jay Humphries,"$650,000","$1,526,719"
1990-1991,Sedale Threatt,"$650,000","$1,526,719"
1990-1991,Duane Causwell,"$650,000","$1,526,719"
1990-1991,Dave Greenwood,"$650,000","$1,526,719"
1990-1991,Mike Brown,"$650,000","$1,526,719"
1990-1991,Chucky Brown,"$630,000","$1,479,743"
1990-1991,Mychal Thompson,"$615,000","$1,444,511"
1990-1991,Pooh Richardson,"$615,000","$1,444,511"
1990-1991,Antoine Carr,"$610,000","$1,432,767"
1990-1991,Darrell Walker,"$610,000","$1,432,767"
1990-1991,Jeff Grayer,"$605,000","$1,421,023"
1990-1991,Larry Krystkowiak,"$605,000","$1,421,023"
1990-1991,Ledell Eackles,"$605,000","$1,421,023"
1990-1991,Terry Mills,"$600,000","$1,409,279"
1990-1991,Craig Hodges,"$600,000","$1,409,279"
1990-1991,Brad Davis,"$600,000","$1,409,279"
1990-1991,Olden Polynice,"$600,000","$1,409,279"
1990-1991,Andrew Lang,"$600,000","$1,409,279"
1990-1991,John Battle,"$590,000","$1,385,791"
1990-1991,Tod Murphy,"$590,000","$1,385,791"
1990-1991,John Salley,"$575,000","$1,350,559"
1990-1991,Elden Campbell,"$575,000","$1,350,559"
1990-1991,Gerald Glass,"$575,000","$1,350,559"
1990-1991,Todd Lichti,"$565,000","$1,327,071"
1990-1991,Jerrod Mustaf,"$565,000","$1,327,071"
1990-1991,John Bagley,"$550,000","$1,291,839"
1990-1991,Larry Drew,"$550,000","$1,291,839"
1990-1991,Terry Teagle,"$550,000","$1,291,839"
1990-1991,Ed Nealy,"$550,000","$1,291,839"
1990-1991,Jerome Kersey,"$550,000","$1,291,839"
1990-1991,Bob Hansen,"$550,000","$1,291,839"
1990-1991,Steve Kerr,"$548,000","$1,287,141"
1990-1991,Dee Brown,"$547,000","$1,284,793"
1990-1991,Gary Grant,"$530,000","$1,244,863"
1990-1991,Michael Smith,"$525,000","$1,233,119"
1990-1991,Mookie Blaylock,"$525,000","$1,233,119"
1990-1991,Derrick Chievous,"$525,000","$1,233,119"
1990-1991,Winston Bennett,"$525,000","$1,233,119"
1990-1991,Dwayne Schintzius,"$520,000","$1,221,375"
1990-1991,Sidney Moncrief,"$510,000","$1,197,887"
1990-1991,Spud Webb,"$510,000","$1,197,887"
1990-1991,Bill Hanzlik,"$510,000","$1,197,887"
1990-1991,Les Jepsen,"$505,000","$1,186,143"
1990-1991,Jerome Lane,"$500,000","$1,174,399"
1990-1991,Tim Hardaway,"$500,000","$1,174,399"
1990-1991,Rod Higgins,"$500,000","$1,174,399"
1990-1991,Randy Wittman,"$500,000","$1,174,399"
1990-1991,Sam Mitchell,"$500,000","$1,174,399"
1990-1991,Dana Barros,"$500,000","$1,174,399"
1990-1991,Jayson Williams,"$500,000","$1,174,399"
1990-1991,Mark Alarie,"$500,000","$1,174,399"
1990-1991,Eric Leckner,"$485,000","$1,139,167"
1990-1991,Greg Kite,"$480,000","$1,127,423"
1990-1991,Harvey Grant,"$475,000","$1,115,679"
1990-1991,Negele Knight,"$468,000","$1,099,237"
1990-1991,Brian Oliver,"$455,000","$1,068,703"
1990-1991,Will Perdue,"$450,000","$1,056,959"
1990-1991,Scott Hastings,"$450,000","$1,056,959"
1990-1991,Winston Garland,"$450,000","$1,056,959"
1990-1991,Jerry Reynolds,"$450,000","$1,056,959"
1990-1991,Otis Smith,"$450,000","$1,056,959"
1990-1991,Danny Young,"$450,000","$1,056,959"
1990-1991,Mark Acres,"$437,000","$1,026,425"
1990-1991,Dan Majerle,"$430,000","$1,009,983"
1990-1991,BJ Armstrong,"$425,000","$998,239"
1990-1991,Kevin Edwards,"$425,000","$998,239"
1990-1991,Quintin Dailey,"$425,000","$998,239"
1990-1991,Ron Anderson,"$425,000","$998,239"
1990-1991,Tate George,"$410,000","$963,007"
1990-1991,Jeff Turner,"$410,000","$963,007"
1990-1991,Scott Skiles,"$408,000","$958,310"
1990-1991,Tom Tolbert,"$405,000","$951,263"
1990-1991,Mark Bryant,"$405,000","$951,263"
1990-1991,Reggie Lewis,"$400,000","$939,519"
1990-1991,Ken Bannister,"$400,000","$939,519"
1990-1991,Billy Thompson,"$400,000","$939,519"
1990-1991,Adrian Dantley,"$400,000","$939,519"
1990-1991,Eddie Lee Wilkins,"$400,000","$939,519"
1990-1991,Dave Hoppen,"$400,000","$939,519"
1990-1991,Kenny Payne,"$400,000","$939,519"
1990-1991,Rod Strickland,"$400,000","$939,519"
1990-1991,Alaa Abdelnaby,"$395,000","$927,775"
1990-1991,John Paxson,"$385,000","$904,287"
1990-1991,Kevin Gamble,"$375,000","$880,799"
1990-1991,Byron Irvin,"$375,000","$880,799"
1990-1991,Anthony Cook,"$370,000","$869,055"
1990-1991,Lance Blanks,"$365,000","$857,311"
1990-1991,Jack Haley,"$360,000","$845,567"
1990-1991,Brian Quinnett,"$360,000","$845,567"
1990-1991,Blue Edwards,"$360,000","$845,567"
1990-1991,Kenny Gattison,"$355,000","$833,823"
1990-1991,John Morton,"$350,000","$822,079"
1990-1991,Kenny Battle,"$350,000","$822,079"
1990-1991,Shawn Kemp,"$350,000","$822,079"
1990-1991,Joe Barry Carroll,"$350,000","$822,079"
1990-1991,Morlon Wiley,"$347,000","$815,033"
1990-1991,Tom Garrick,"$340,000","$798,591"
1990-1991,Jon Sundvold,"$335,000","$786,847"
1990-1991,Bob Thornton,"$335,000","$786,847"
1990-1991,Micheal Williams,"$325,000","$763,359"
1990-1991,Mike Smrek,"$325,000","$763,359"
1990-1991,Sherman Douglas,"$325,000","$763,359"
1990-1991,Randolph Keys,"$322,000","$756,313"
1990-1991,Derek Smith,"$315,000","$739,871"
1990-1991,David Wood,"$300,000","$704,639"
1990-1991,Greg Dreiling,"$300,000","$704,639"
1990-1991,Grant Long,"$300,000","$704,639"
1990-1991,Greg Grant,"$300,000","$704,639"
1990-1991,Dave Corzine,"$300,000","$704,639"
1990-1991,Scott Meents,"$300,000","$704,639"
1990-1991,Rory Sparrow,"$300,000","$704,639"
1990-1991,Steve Colter,"$300,000","$704,639"
1990-1991,Scott Brooks,"$295,000","$692,895"
1990-1991,Bimbo Coles,"$290,000","$681,151"
1990-1991,Adrian Caldwell,"$275,000","$645,919"
1990-1991,Dave Feitl,"$275,000","$645,919"
1990-1991,A.J. English,"$275,000","$645,919"
1990-1991,Greg Foster,"$275,000","$645,919"
1990-1991,Steve Alford,"$250,000","$587,199"
1990-1991,Vernon Maxwell,"$250,000","$587,199"
1990-1991,Terry Davis,"$250,000","$587,199"
1990-1991,Cliff Robinson,"$250,000","$587,199"
1990-1991,Doug West,"$230,000","$540,223"
1990-1991,Jud Buechler,"$225,000","$528,479"
1990-1991,Frank Kornet,"$225,000","$528,479"
1990-1991,Walter Palmer,"$225,000","$528,479"
1990-1991,Stojko Vrankovic,"$222,000","$521,433"
1990-1991,Delaney Rudd,"$215,000","$504,991"
1990-1991,Marcus Liberty,"$210,000","$493,247"
1990-1991,Jeff Martin,"$210,000","$493,247"
1990-1991,Gary Leonard,"$200,000","$469,759"
1990-1991,Steve Scheffler,"$200,000","$469,759"
1990-1991,Milos Babic,"$200,000","$469,759"
1990-1991,Michael Ansley,"$200,000","$469,759"
1990-1991,Kevin Pritchard,"$185,000","$434,527"
1990-1991,Kenny Williams,"$175,000","$411,039"
1990-1991,Cedric Ceballos,"$175,000","$411,039"
1990-1991,Derrick Gervin,"$155,000","$364,063"
1990-1991,Scott Williams,"$150,000","$352,319"
1990-1991,John Shasky,"$150,000","$352,319"
1990-1991,John Long,"$150,000","$352,319"
1990-1991,Keith Askins,"$150,000","$352,319"
1990-1991,Richard Coffey,"$150,000","$352,319"
1990-1991,Sean Higgins,"$150,000","$352,319"
1990-1991,Tony Massenburg,"$150,000","$352,319"
1990-1991,Alan Ogg,"$130,000","$305,343"
1990-1991,Ian Lockhart,"$130,000","$305,343"
1990-1991,Duane Ferrell,"$125,000","$293,599"
1990-1991,Gerald Henderson,"$125,000","$293,599"
1990-1991,Rick Calloway,"$125,000","$293,599"
1990-1991,Kurk Lee,"$120,000","$281,855"
1990-1991,Gerald Paddio,"$120,000","$281,855"
1990-1991,Matt Bullard,"$120,000","$281,855"
1990-1991,Kennard Winchester,"$120,000","$281,855"
1990-1991,Tony Smith,"$120,000","$281,855"
1990-1991,Irving Thomas,"$120,000","$281,855"
1990-1991,Steve Henson,"$120,000","$281,855"
1990-1991,John Starks,"$120,000","$281,855"
1990-1991,Rickey Green,"$120,000","$281,855"
1990-1991,Andy Toolson,"$120,000","$281,855"
1990-1991,Haywoode Workman,"$120,000","$281,855"
1990-1991,Jim Grandholm,"$115,000","$270,111"
1990-1991,Andre Turner,"$110,000","$258,367"
1990-1991,Darnell Valentine,"$100,000","$234,879"
1990-1991,Paul Mokeski,"$100,000","$234,879"
1990-1991,Dave Popson,"$80,000","$187,903"
1990-1991,Scott Haffner,"$75,000","$176,159"
1990-1991,Henry James,"$75,000","$176,159"
1990-1991,Mario Elie,"$50,000","$117,439"
1990-1991,Avery Johnson,"$50,000","$117,439"
1990-1991,Alan Bannister,"$50,000","$117,439"
1990-1991,Tony Brown,"$50,000","$117,439"
1990-1991,A.J. Wynder,"$30,000","$70,463"
1990-1991,Kelvin Upshaw,"$30,000","$70,463"
1990-1991,Anthony Frederick,"$30,000","$70,463"
1995-1996,Patrick Ewing,"$18,724,000","$37,461,383"
1995-1996,Clyde Drexler,"$9,810,000","$19,627,011"
1995-1996,David Robinson,"$7,700,000","$15,405,503"
1995-1996,Chris Webber,"$7,000,000","$14,005,003"
1995-1996,Joe Dumars,"$6,881,000","$13,766,918"
1995-1996,Danny Manning,"$6,833,000","$13,670,883"
1995-1996,A.C. Green,"$6,473,000","$12,950,626"
1995-1996,Shaquille O'Neal,"$5,700,000","$11,404,074"
1995-1996,Derrick Coleman,"$5,476,000","$10,955,913"
1995-1996,Sean Elliott,"$5,333,000","$10,669,811"
1995-1996,Hakeem Olajuwon,"$5,305,000","$10,613,791"
1995-1996,Anfernee Hardaway,"$5,230,000","$10,463,738"
1995-1996,James Worthy,"$5,150,000","$10,303,680"
1995-1996,Detlef Schrempf,"$5,000,000","$10,003,573"
1995-1996,Sam Bowie,"$4,800,000","$9,603,430"
1995-1996,Charles Barkley,"$4,760,000","$9,523,402"
1995-1996,Brad Daugherty,"$4,700,000","$9,403,359"
1995-1996,Danny Ferry,"$4,643,000","$9,289,318"
1995-1996,Alonzo Mourning,"$4,560,000","$9,123,259"
1995-1996,Tom Gugliotta,"$4,500,000","$9,003,216"
1995-1996,Clarence Weatherspoon,"$4,500,000","$9,003,216"
1995-1996,Shawn Bradley,"$4,320,000","$8,643,087"
1995-1996,Larry Johnson,"$4,295,000","$8,593,069"
1995-1996,Brian Shaw,"$4,250,000","$8,503,037"
1995-1996,John Williams,"$4,151,000","$8,304,966"
1995-1996,Grant Hill,"$4,050,000","$8,102,894"
1995-1996,Dale Davis,"$4,050,000","$8,102,894"
1995-1996,Benoit Benjamin,"$3,975,000","$7,952,841"
1995-1996,Sam Perkins,"$3,967,000","$7,936,835"
1995-1996,Christian Laettner,"$3,910,000","$7,822,794"
1995-1996,Kenny Anderson,"$3,898,000","$7,798,786"
1995-1996,Michael Jordan,"$3,850,000","$7,702,751"
1995-1996,Chris Dudley,"$3,800,000","$7,602,716"
1995-1996,Glenn Robinson,"$3,770,000","$7,542,694"
1995-1996,Vin Baker,"$3,765,000","$7,532,691"
1995-1996,Rik Smits,"$3,750,000","$7,502,680"
1995-1996,Tim Hardaway,"$3,728,000","$7,458,664"
1995-1996,Mark Price,"$3,687,000","$7,376,635"
1995-1996,Karl Malone,"$3,676,000","$7,354,627"
1995-1996,Kevin Willis,"$3,650,000","$7,302,608"
1995-1996,Jason Kidd,"$3,588,000","$7,178,564"
1995-1996,Charles Smith,"$3,582,000","$7,166,559"
1995-1996,Toni Kukoc,"$3,560,000","$7,122,544"
1995-1996,Harvey Grant,"$3,551,000","$7,104,538"
1995-1996,Rony Seikaly,"$3,532,000","$7,066,524"
1995-1996,Mitch Richmond,"$3,500,000","$7,002,501"
1995-1996,Wayman Tisdale,"$3,475,000","$6,952,483"
1995-1996,Anthony Mason,"$3,472,000","$6,946,481"
1995-1996,Tyrone Hill,"$3,425,000","$6,852,448"
1995-1996,Buck Williams,"$3,400,000","$6,802,430"
1995-1996,Vlade Divac,"$3,333,000","$6,668,382"
1995-1996,Billy Owens,"$3,320,000","$6,642,372"
1995-1996,Glen Rice,"$3,302,000","$6,606,360"
1995-1996,Dana Barros,"$3,300,000","$6,602,358"
1995-1996,Dikembe Mutombo,"$3,250,000","$6,502,322"
1995-1996,Frank Brickowski,"$3,250,000","$6,502,322"
1995-1996,Jamal Mashburn,"$3,233,000","$6,468,310"
1995-1996,Reggie Miller,"$3,211,000","$6,424,295"
1995-1996,Kendall Gill,"$3,200,000","$6,402,287"
1995-1996,Jim Jackson,"$3,200,000","$6,402,287"
1995-1996,Nick Anderson,"$3,200,000","$6,402,287"
1995-1996,Sherman Douglas,"$3,163,000","$6,328,260"
1995-1996,Dennis Scott,"$3,150,000","$6,302,251"
1995-1996,Ron Harper,"$3,120,000","$6,242,230"
1995-1996,Dan Majerle,"$3,100,000","$6,202,215"
1995-1996,Blair Rasmussen,"$3,088,000","$6,178,207"
1995-1996,LaPhonso Ellis,"$3,039,000","$6,080,172"
1995-1996,Clifford Robinson,"$3,018,000","$6,038,157"
1995-1996,Isaiah Rider,"$3,010,000","$6,022,151"
1995-1996,Dee Brown,"$3,000,000","$6,002,144"
1995-1996,Loy Vaught,"$3,000,000","$6,002,144"
1995-1996,Stanley Roberts,"$3,000,000","$6,002,144"
1995-1996,Shawn Kemp,"$3,000,000","$6,002,144"
1995-1996,Scottie Pippen,"$2,925,000","$5,852,090"
1995-1996,Kevin Johnson,"$2,900,000","$5,802,072"
1995-1996,Kevin Duckworth,"$2,863,000","$5,728,046"
1995-1996,Chris Mullin,"$2,844,000","$5,690,032"
1995-1996,Derek Harper,"$2,837,000","$5,676,027"
1995-1996,Derrick McKey,"$2,800,000","$5,602,001"
1995-1996,John Stockton,"$2,800,000","$5,602,001"
1995-1996,Calbert Cheaney,"$2,800,000","$5,602,001"
1995-1996,Gary Payton,"$2,783,000","$5,567,989"
1995-1996,Horace Grant,"$2,763,000","$5,527,974"
1995-1996,Donyell Marshall,"$2,730,000","$5,461,951"
1995-1996,Kenny Smith,"$2,683,000","$5,367,917"
1995-1996,Lionel Simmons,"$2,676,000","$5,353,912"
1995-1996,J.R. Reid,"$2,658,000","$5,317,899"
1995-1996,Dino Radja,"$2,640,000","$5,281,886"
1995-1996,Otis Thorpe,"$2,607,000","$5,215,863"
1995-1996,Mahmoud Abdul-Rauf,"$2,600,000","$5,201,858"
1995-1996,Mark Jackson,"$2,600,000","$5,201,858"
1995-1996,Bobby Hurley,"$2,584,000","$5,169,846"
1995-1996,Steve Smith,"$2,568,000","$5,137,835"
1995-1996,Alvin Robertson,"$2,525,000","$5,051,803"
1995-1996,Antoine Carr,"$2,525,000","$5,051,804"
1995-1996,Pooh Richardson,"$2,521,000","$5,043,801"
1995-1996,Olden Polynice,"$2,520,000","$5,041,801"
1995-1996,Todd Day,"$2,518,000","$5,037,799"
1995-1996,Mookie Blaylock,"$2,500,000","$5,001,786"
1995-1996,Robert Parish,"$2,500,000","$5,001,786"
1995-1996,Dennis Rodman,"$2,500,000","$5,001,786"
1995-1996,Hersey Hawkins,"$2,500,000","$5,001,786"
1995-1996,Sharone Wright,"$2,500,000","$5,001,786"
1995-1996,Chris Morris,"$2,500,000","$5,001,786"
1995-1996,Gerald Wilkins,"$2,478,000","$4,957,771"
1995-1996,Joe Smith,"$2,473,000","$4,947,767"
1995-1996,Walt Williams,"$2,423,000","$4,847,731"
1995-1996,Ken Norman,"$2,416,000","$4,833,726"
1995-1996,John Salley,"$2,402,000","$4,805,716"
1995-1996,BJ Armstrong,"$2,400,000","$4,801,715"
1995-1996,Lamond Murray,"$2,400,000","$4,801,715"
1995-1996,Sedale Threatt,"$2,400,000","$4,801,715"
1995-1996,Charles Oakley,"$2,400,000","$4,801,715"
1995-1996,Sarunas Marciulionis,"$2,400,000","$4,801,715"
1995-1996,Jeff Malone,"$2,380,000","$4,761,701"
1995-1996,Micheal Williams,"$2,375,000","$4,751,697"
1995-1996,Oliver Miller,"$2,372,000","$4,745,695"
1995-1996,Luc Longley,"$2,300,000","$4,601,643"
1995-1996,Doc Rivers,"$2,287,000","$4,575,633"
1995-1996,Rod Strickland,"$2,280,000","$4,561,629"
1995-1996,Cedric Ceballos,"$2,245,000","$4,491,604"
1995-1996,Antonio McDyess,"$2,213,000","$4,427,581"
1995-1996,Bison Dele,"$2,200,000","$4,401,572"
1995-1996,Elden Campbell,"$2,200,000","$4,401,572"
1995-1996,Arvydas Sabonis,"$2,200,000","$4,401,572"
1995-1996,Felton Spencer,"$2,181,000","$4,363,558"
1995-1996,Terry Mills,"$2,177,000","$4,355,556"
1995-1996,Stacey Augmon,"$2,160,000","$4,321,543"
1995-1996,Michael Cage,"$2,126,000","$4,253,519"
1995-1996,Jeff Hornacek,"$2,121,000","$4,243,515"
1995-1996,Johnny Dawkins,"$2,100,000","$4,201,500"
1995-1996,Willie Anderson,"$2,075,000","$4,151,483"
1995-1996,Mark Macon,"$2,038,000","$4,077,456"
1995-1996,Elliot Perry,"$2,025,000","$4,051,447"
